N° (original);Disponible Nov 2024;Nombre vulgar;lat;lon;Zona;ruta mapa;Categoria;Nombre Científico;Familia;Observaciones;Fijador de Nitrógeno;Acumulador Dinámico;Minerales;Propiedades;Época de siembra (CHILE);Método;Profundidad de Siembra;Tiempo de germinar;Transplante;Distancia entre (Plantas);Distancia entre (hileras);Tiempo para cosechar;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Meses UNIRCADENAS
24;Sí;Arvejas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;Pisum sativum;Leguminosas-Fabaceas;Resistente a bajas temperaturas. Necesita tutores para un crecimiento óptimo.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;Antioxidante-Aporta:Fibra-Vitaminas B-C-A-Minerales;Mayo a Agosto;Directa;2 cm;-;-;40 cm;40 cm;90 días;;;;;Mayo;Junio;Julio;Agosto;;;;;"Mayo;Junio;Julio;Agosto"
39;Sí;"Choclo-Maiz
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;"Zea mays
";"Gramineas
Poaceas";Requiere suelos fértiles y profundos. Sensible a la sequía durante la floración.;No;Sí;Mg-Ca-K-P-Fe-Cu-Zn-Na;"Demulcente urinario-Diurético-Estimula levemente la secrecion biliar-
Baja la tensión sanguinea";Sept. a Dicemb.;Directa;2 a 3 cm;-;-;30 cm;60 cm;120 días;;;;;;;;;Septiembre;Octubre;Noviembre;Diciembre;"Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Garbanzos;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;Cicer arietinum;Leguminosas-Fabaceas;Requiere suelos secos y bien drenados. Tolera la sequía.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;Diurético-Antidepresivo-Favorece transito intestinal-Controla hipertensión;Sept. a Octubre;Directa;5 a 6 cm;10 a 15 días;-;40 cm;40 cm;110 días;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;Habas;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;Vicia faba;Leguminosas-Fabaceas;Tolera bajas temperaturas, ideal para siembra en otoño. Necesita soporte en su crecimiento.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;Diurética-Depurativa-Antirreumática-Reduce colesterol;Abril a Junio;Directa;3 a 4 cm;-;-;25 cm;30 cm;90 días;;;;Abril;Mayo;Junio;;;;;;;"Abril;Mayo;Junio"
;Sí;Lenteja;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;Lens culinaris/esculenta;Leguminosas-Fabaceas;Prefiere suelos ligeros y bien drenados. Necesita riego moderado y pleno sol.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;Antianémica-Contiene:Proteinas y Minerales-Gran fuente de energía;Otoño (marzo a mayo);Directa;2 a 4 cm;7 a 10 días;-;20 cm;40 cm;90 días;;;Marzo;Abril;Mayo;;;;;;;;"Marzo;Abril;Mayo"
58;Sí;"Mani
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;"Arachis hypogaea
";Leguminosas-Fabaceas;Requiere suelos sueltos y bien drenados. Prefiere climas cálidos y riego constante.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;"Antioxidante-Equilibra colesterol-Fortalece sistema inmune-Estimula el crecimiento y desarrollo
Contiene vitaminas y mienerales- Protege la piel-Previene enfermedades cardiovasculares";Septiembre - Noviembre;Directa;5 cm;7 a 14 días;-;20 cm;50 cm;150 días;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;No;Poroto verde, judía, chaucha;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;Phaseolus vulgaris;Fabaceae;Para que la recolección sea escalonada se deben hacer siembras cada 2 o 3 semanas;No;Sí;Mg-Ca-K-P-Fe-Cu;Diurético-Hipoglucemiante-Reductor de colesterol-Remineralizante;Sept. a Enero;Directa;3.5 cm;7 a 8 días;-;30 cm;50 cm;80 días;Enero;;;;;;;;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Porotos;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;Phaseolus vulgaris;Leguminosas-Fabaceas;Requiere suelos bien drenados y temperaturas cálidas. Necesita soporte para variedades trepadoras.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;Las cáscaras sirven para bajar la glucosa en la sangre(diabéticos);Octubre a Enero;Directa;3 a 5 cm;7 a 10 días;-;30 cm;50 cm;-;Enero;;;;;;;;;Octubre;Noviembre;Diciembre;"Enero;Octubre;Noviembre;Diciembre"
;Sí;Quinoa;;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Legumbres y Granos;Chenopodium quinoa;Amarantaceas;Al boleo, siembra contin.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;Se usa para: Celiacos-Estreñimiento-Para diabéticos-Contiene:Proteínas, Minerales,Vitaminas B,E;Agosto a Sept.;Directa;2,5 cm;24 horas;-;-;40 cm;90 a 125 días;;;;;;;;Agosto;Septiembre;;;;"Agosto;Septiembre"
19;Sí;"Ajenjo
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Artemisia Absinthium
";Asteraceas;Prefiere suelos secos y bien drenados. Tolera la sequía y requiere pleno sol. Evitar suelos húmedos.;No;Sí;K-P-Cu;"Amargo-Estimula secreción de bilis-Antiinflamatorio
Vermífugo-Antidepresivo suave-Calma dolor de estomago";Primavera (septiembre a noviembre);Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
47;Sí;Albahaca;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Ocimun basilicum
";Labiadas-Lamiaceas;Prefiere temperaturas cálidas y suelos bien drenados. No tolera heladas.;No;Sí;Mg-K;"Digestivo-Carminativo-Ligeramente sedante-Para la depresión-Tos ferina
Galactógeno-Antibacteriano";Agosto a Sept.;Almacigo;0,5 a 1 cm;10 a 15 días;Sept. a Nov.;25 cm;60 cm;80 días;;;;;;;;Agosto;Septiembre;;;;"Agosto;Septiembre"
0;Sí;Aloe Vera;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Aloe vera;Xanthorrhoeaceae;Tolera suelos arenosos y sequía. Necesita pleno sol y riego ocasional. Sensible al exceso de humedad.;No;No;No aplica;Cicatrizante-Emoliente-Estimula la secreción de bilis- Laxante;Primavera (septiembre a noviembre);Esquejes;-;20 a 30 días;-;50 cm;70 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
13;Sí;"Artemisa-Matricaria
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Tanacetum parthenium
Tanacetum vulgare";Asteraceas;Prefiere suelos fértiles y bien drenados. Requiere pleno sol y riego moderado.;No;No;No aplica;"Análgesico-Febrífugo-Antirreumático-Favorece el flujo menstrual-Amargo
";Primavera (septiembre a noviembre);Directa;0.5 cm;10 a 15 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;Boldo;-33.6844134;-70.9505205;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Peumus boldus ;Monimiaceae;Tolera suelos pobres y secos. Prefiere pleno sol y riego moderado.;No;No;No aplica;Laxante suave-Antiinflamatorio-Protector hepático-Digestivo;Invierno (junio a agosto);Almacigo;2 cm;30 a 40 días;-;3 m;4 m;-;;;;;;Junio;Julio;Agosto;;;;;"Junio;Julio;Agosto"
27;No;"Bolsa de pastor
Mastuerzo";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Capsella bursa-pastoris
";Boraginaceas;Crece en suelos pobres y tolera condiciones adversas. Puede ser invasiva.;No;Sí;Mg-Ca-K-P-Fe-Cu;"Hemostático-Astringente-Antidiarreico-Emenagogo
";Agosto - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
25;Sí;Borraja;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Borago officinalis;Boraginaceas;Prefiere suelos húmedos y bien drenados. Necesita exposición al sol y riego moderado.;No;Sí;Si-K;Demulcente-Emoliente-Sudorífica(flores)-Diurética(hojas);Agosto - Octubre;Directa;1 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
21;Sí;"Caléndula-Chinita
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Calendula officinalis
";Asteraceas;Prefiere suelos fértiles y bien drenados. Tolera climas frescos y necesita pleno sol o sombra parcial.;No;Sí;"Hojas:
P";"Antiinflamatorio-Alivia espasmos musculares-Astringente
Evita hemorragia-Cicatrizante-Antiséptico-Desintoxicante";Primavera (septiembre a noviembre);Directa;1 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
54;No;"Canela
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Cinnamomum verum
Cinnamomum zeylanicum";Lauraceas;Prefiere climas cálidos y húmedos. Necesita suelos bien drenados y exposición parcial al sol.;No;No;No aplica;"Estimulante calorífico-Carminativo-Antiespasmódico-
Antiséptico- Antiviral";Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;3 m;4 m;4 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Cedrón
";-33.6844565;-70.9505563;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Aloysia citrodora ;Verbenaceae;Prefiere suelos fértiles y bien drenados. Requiere pleno sol y riego moderado.;No;No;No aplica;"Calmante y digestivo-Sedante suave
";Primavera (septiembre a noviembre);Esquejes;-;20 a 30 días;-;50 cm;70 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
;Sí;"Ciboulette
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Allium schoenoprasum
";Aliaceas-Liliaceas (Amaryllidaceae);Prefiere suelos bien drenados y exposición al sol. Tolera climas frescos y riego moderado.;No;Sí;"S-Ca-Na
";"Diurético-Hipertensivo-Contra parásitos intestinales-Flatulencias-Evita resfríos-Obstrucciones nasales
";Abril - Mayo;Almacigo;1 cm;10 a 14 días;-;20 cm;30 cm;90 días;;;;Abril;Mayo;;;;;;;;"Abril;Mayo"
;Sí;Cilantro;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Coriandrum sativum;Umbelíferas-Apiaceas;Crece mejor en climas templados. Evitar el calor extremo para prevenir floración temprana.;No;No;No aplica;Bactericida-Se usa para:Combatir colesterol-Contra gripe-Contiene:Vitaminas A,C y Minerales.;Agosto a Sept.;Directo;2 cm;30 días;-;2 cm;30 cm;90 días;;;;;;;;Agosto;Septiembre;;;;"Agosto;Septiembre"
34;Sí;"Cola de caballo
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Equisetum arvenge
Equisetum bogotense";"Equisetaceas
";Prefiere suelos húmedos y sombra parcial. Tolera condiciones de humedad extrema. Puede ser invasiva.;No;No;No aplica;"Coagulador-Astringente-Diurética-Antirreumática-Hinchazón de pies-Cicatrizante de tejidos
";Agosto - Octubre;Esquejes;-;20 a 30 días;-;40 cm;60 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
26;Sí;Consuelda;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Symphytum offinale;Boraginaceas;Prefiere suelos húmedos y ricos en materia orgánica. Evitar la exposición al sol directo prolongado.;No;Sí;Mg-Ca-K-P-Fe-Cu;Demulcente-Astringente-Antiinflamatorio-Cicatriza heridas y huesos. Externo;Septiembre - Octubre;Directa;0.5 cm;10 a 14 días;-;30 cm;50 cm;90 días;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
60;Sí;"Culén
";;;Zona 3: Visitas Frecuentes;images/zona3_bosque.png;Plantas Aromáticas y Medicinales;"Psoralea glandulosa
Otholobium glandulosom";Leguminosas-Fabaceas;Prefiere suelos bien drenados y exposición al sol. Tolera condiciones secas.;Sí;Sí;Mg-Ca-K-P-Fe-Cu;"Tronco y hojas:Indigestiones-Diarrea-Molestias del estómago-Antipirético-Antibacteriano-Vulnerario
Astringente";Agosto - Octubre;Directa;2 cm;10 a 14 días;-;1 m;2 m;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
29;No;"Cúrcuma
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Curcuma longa
Curcuma domestica";"Cingiberaceas
";Necesita suelos ricos en materia orgánica y riego constante. Prefiere climas cálidos y húmedos.;No;No;No aplica;"Estimula secreción de bilis-Antiinflamatorio-
Calma dolor de estómago-Antioxidante-Antibacteriano";Septiembre - Noviembre;Rizomas;5 cm;20 a 30 días;-;30 cm;60 cm;8 meses;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
14;Sí;Diente de león;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Taraxacum officinale;Asteraceas;Planta resistente, crece en diversos tipos de suelo. Prefiere sol o sombra parcial.;No;Sí;Mg-Ca-K-P-Fe-Cu-Na-Si;Hoja:Diurético-Raiz:Desintoxicante-Amargo-Sirve para hígado y vesícula;Agosto - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
38;Sí;Fumaria;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Fumaria officinalis;Fumariaceas;Crece en suelos húmedos y bien drenados. Prefiere sombra parcial y riego moderado.;No;Sí;S-Mg-K-Fe;Estimulante del hígado y vesícula-Para afecciones de la piel y eczemas-Diurético;Agosto - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
56;Sí;Galega;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Galega officinalis;Leguminosas-Fabaceas;Prefiere suelos fértiles y húmedos. Requiere riego constante y sombra parcial.;Sí;Sí;P;Antidiabética(reduce azucar)-Vermífuga-Galactógena-Diurético-Sudorífica;Primavera (septiembre a noviembre);Directa;1 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
37;Sí;"Hierba del paño
Gordolobo";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Verbascum thapsus
";Escrufulaceas;Tolera suelos pobres y secos. Prefiere pleno sol y riego ocasional.;No;Sí;"S-Mg-K-Fe
";"Sirve para: Tos, Catarro y Bronquitis-Expectorante-Externo:Emoliente-Cicatrizante
";Agosto - Octubre;Directa;0.5 cm;10 a 15 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
57;Sí;Hinojo;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Foeniculum vulgare;Umbelíferas-Apiaceas;Prefiere suelos ligeros y bien drenados. Requiere pleno sol y riego moderado.;Sí;Sí;S-K-P-Na;Carminativo-Diurético-Antiinflamatorio-Galactógeno-Inflamación oculares.;Primavera (septiembre a noviembre);Directa;0.5 cm;10 a 14 días;-;30 cm;50 cm;90 días;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
30;Hemos tenido;"Jengibre
";;;Zona 2: Paños de Cultivo;images/zona2_cultivos.png;Plantas Aromáticas y Medicinales;"Zingiber offinale
";"Cingiberaceas
";Necesita suelos ricos en materia orgánica y húmedos. Prefiere climas cálidos y sombra parcial.;No;Sí;S-Mg-K-Fe;"Antiemético(mareos)-Carminativo-Estimulante circulatorio-Evita la tos-
antiinflamatorio-Antiséptico";Septiembre - Noviembre;Esquejes;5 cm;20 a 30 días;-;30 cm;60 cm;8 a 10 meses;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
53;Sí;Laurel;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Laurus nobilis;Lauraceas;Prefiere suelos fértiles y húmedos, pero bien drenados. Tolera sombra parcial y necesita riego moderado.;No;No;No aplica;Digestivo-Calma dolores artríticos-Efecto tónico;Primavera (septiembre a noviembre);Almacigo;3 cm;30 a 40 días;-;2 m;3 m;3 años;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
48;Sí;"Lavanda
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Lavandula angustifolia
Lavandula officinalis";Labiadas-Lamiaceas;Prefiere suelos secos y bien drenados. Tolera la sequía y requiere pleno sol.;No;No;No aplica;"Carminativo-Alivia los espasmos musculares-Antidepresivo
Antiséptico-Antibacteriano-Estimula flujo sanguineo";Primavera (septiembre a noviembre);Directa;0.5 cm;10 a 15 días;-;50 cm;70 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
63;Sí;Linaza;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Linum usitatissimum;Linaceas;Prefiere suelos ligeros y bien drenados. Necesita pleno sol y riego moderado.;No;Sí;Semillas: K;Calma irritacion del tracto digestivo-Laxante suave;Primavera (septiembre a noviembre);Directa;2 cm;7 a 14 días;-;20 cm;40 cm;120 días;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
75;Sí;Llantén;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Plantago major;Plantagineceas;Crece en suelos húmedos y bien drenados. Tolera sombra parcial y necesita riego constante.;No;Sí;S-Mg-Ca-KMn-Fe-Cu;Diurético-Expectorante-Anticatarral-Favorece reconstrucción del tejido;Septiembre - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;No;Lúpulo;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Humulus lupulus;Cannabaceas;Prefiere suelos fértiles y húmedos. Necesita estructuras de soporte y pleno sol.;No;No;No aplica;Sedante-Relajante-Digestivo-Diurético-Antiséptico-Para insomnio y ansiedad;Agosto - Octubre;Esquejes;-;20 a 30 días;-;1 m;2 m;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
65;Sí;Malva;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Malva silvestris;Malvaceas;Tolera suelos pobres y secos. Prefiere exposición al sol o sombra parcial. Requiere riego moderado.;No;Sí;P;Demulcente-Emoliente-Laxante;Agosto - Noviembre;Directa;1 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;Noviembre;;"Agosto;Septiembre;Octubre;Noviembre"
22;Sí;"Manzanilla
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Chamomilla recutita
Matricaria";Asteraceas;Prefiere suelos ligeros y bien drenados. Requiere pleno sol y riego moderado. Tolera suelos pobres.;No;Sí;P;"Antiinflamatorio-Antiespasmódico-Relajante-Carminativo
Amargo suave-Antialérgico";Primavera (septiembre a noviembre);Directa;0.5 cm;7 a 10 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
15;Sí;Maravilla-Girasol;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Helianthus anuus;Asteraceas;Prefiere suelos fértiles y bien drenados. Necesita pleno sol y riego moderado.;No;Sí;Mg-Ca-P-Zn;Antiinflamatorio-Analgésico-Sirve para:Bajar colesterol-Contiene:Proteinas-Minerales-Vitamina E;Septiembre - Octubre;Directa;2 cm;7 a 10 días;-;50 cm;70 cm;120 días;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
49;Sí;"Mejorana
Oregano";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Origanum mejorana
Origanum vulgare";Labiadas-Lamiaceas;Prefiere suelos secos y bien drenados. Requiere pleno sol y riego moderado.;No;Sí;P;"Estimulante-Antiespasmódica-Tónico general-Trata flatulencia y tos
";Agosto - Octubre;Directa;0.5 cm;10 a 15 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
43;Sí;"Melisa
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Melissa officinalis
";Labiadas-Lamiaceas;Prefiere suelos húmedos y bien drenados. Tolera sombra parcial y requiere riego constante.;No;Sí;"P
";"Relajante-Antiespasmódico-Carminativo-Antiviral-
Tónico para los nervios";Agosto - Octubre;Directa;0.5 cm;10 a 15 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
23;Sí;"Menta coca
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Tanacetum balsamica
";Asteraceas;Prefiere suelos bien drenados y exposición al sol. Riego moderado.;No;No;No aplica;"Digestivo-Antiséptico-Antiinflamatorio-Sirve para:Sistema respiratorio-Combate mal aliento-
Fuente de K(potasio) y Vitamina A";Septiembre - Octubre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
50;Sí;"Menta
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Menta x piperita
";Labiadas-Lamiaceas;Necesita suelos húmedos y bien drenados. Requiere sombra parcial y riego constante.;No;Sí;"Mg-K
";"Carminativo-Alivia los espasmos musculares-Sudorífico-
Estimula secreción de bilis- Antiséptico";Primavera (septiembre a noviembre);Esquejes;-;15 a 20 días;-;40 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
59;Sí;"Milenrama
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Achillea millefolium
";Asteraceas;Crece en suelos pobres y secos. Prefiere pleno sol y riego moderado.;Sí;Sí;"K-P-Cu
";"Antiespasmódico-Astringente-Tónico amargo
Sudorífico-Febrífugo-Baja tensión sanguinea";Primavera (septiembre a noviembre);Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
72;Sí;"Ortiga mayor
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Urtica dioica
";"Urticaceas
";Crece en suelos húmedos y ricos en nutrientes. Prefiere sombra parcial y riego constante.;Sí;Sí;"S-Ca-K-Fe-Cu-Na
";"Diurético-Tónico-Astringente-Evita hemorragias-Antialérgico-Galactógeno(hoja) 
Raiz:Disminuye el tamaño de la próstata";Agosto - Octubre;Directa;1 cm;14 a 20 días;-;30 cm;50 cm;-;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
7;Sí;"Paico
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Chenopodium ambrosoides
Chenopodium chilense";Amarantaceas;Prefiere suelos fértiles y bien drenados. Tolera climas cálidos y requiere riego moderado.;Sí;No;No aplica;"Digestiva-Ligeramente estimulante-Diaforético-Sudorífico-Contra lombrices-
Carminativo-Antiinlamatorio";Septiembre - Octubre;Directa;0.5 cm;10 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
74;Sí;Pasiflora;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Passiflora incarnata;Pasifloraceas;Necesita suelos húmedos y bien drenados. Requiere pleno sol y estructuras para trepar. Tolera temperaturas moderadas.;No;No;No aplica;Sedante-Antiespasmódico-Tranquilizante;Septiembre - Octubre;Almacigo;1 cm;10 a 14 días;-;50 cm;70 cm;90 días;;;;;;;;;Septiembre;Octubre;;;"Septiembre;Octubre"
;Sí;"Perejil
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Petroselinum crispum
Carum petroselinum";Umbelíferas-Apiaceas;Necesita riego constante y suelos fértiles. Puede cultivarse en sombra parcial.;No;Sí;"Mg-Ca-K-Mn-Fe
";"Diurética-Se usa para:Cistitis-Flatulencia-Dolencias reumáticas-Contra fatiga-Digestión-Enfermedades de encías
Contiene:Vitaminas K,C,A-Hierro";Todo el año;Directa;0,5 cm;20 a 30 días;-;5 cm;30 cm;90 días;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;"Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre"
;Sí;Pimentón;;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;Capsicum frutescens var. grossum;Solanaceas;Necesita suelos fértiles y bien drenados. Requiere pleno sol y riego regular. Sensible a heladas.;No;No;No aplica;Digestivo-Afrodisiaco-Analgésico-Protege vista-Sirve para: Anemia-Contiene: Vit.C;Agosto - Octubre;Almacigo;1 cm;10 a 15 días;Nov. a Dic;50 cm;1 m;90 días;;;;;;;;Agosto;Septiembre;Octubre;;;"Agosto;Septiembre;Octubre"
33;Sí;"Pingo pingo
";;;Zona 1: Visitas Frecuentes;images/zona1_visitas_frecuentes.png;Plantas Aromáticas y Medicinales;"Ephedra chilense
Ephedra andina";"Ephedraceas
";Prefiere suelos secos y bien drenados. Tolera condiciones extremas de temperatura.;No;No;No aplica;"Diurético-Estíptico-Depurativo-sirve para:Afecciones vejiga
";Septiembre - Noviembre;Directa;0.5 cm;7 a 14 días;-;30 cm;50 cm;-;;;;;;;;;Septiembre;Octubre;Noviembre;;"Septiembre;Octubre;Noviembre"
